postcode,latitude,longitude
AB,57.29199065308671,-2.673874775928612
AL,51.7817005074323,-0.2950971339541468
B,52.42733217777841,-1.8501469940461528
BA,51.181908248103994,-2.410216369150576
BB,53.841351484262226,-2.3555175494758838
BD,54.00275277592642,-2.0481919102804413
BH,50.75381299285149,-1.9525409480938758
BL,53.60829948773206,-2.4168954410064756
BN,50.853928565024816,-0.08085739773478512
BR,51.38255286152359,0.07355715670265475
BS,51.42440545614418,-2.696597629853052
CA,54.70277792948306,-2.9162227713125937
CB,52.218234709497544,0.246867214340548
CF,51.579235167801244,-3.4094588152616176
CH,53.25347833022855,-3.0564445416544865
CM,51.765679394641616,0.47357915624748465
CO,51.93216465400569,0.8725662682695801
CR,51.33020064597641,-0.08447104285516455
CT,51.24306863435633,1.2035761165095993
CV,52.3296856727537,-1.5046911617614294
CW,53.14052986437508,-2.4774503488401884
DA,51.4165468887769,0.26887503225250764
DD,56.70278394488615,-2.840271732544367
DE,52.96195001570541,-1.5837551106687562
DG,55.05642478636394,-3.9991258198502564
DH,54.81939566995816,-1.7156527378376045
DL,54.49556744840833,-1.856035864155699
DN,53.541616007707006,-0.7036898533048433
DT,50.78814019427452,-2.4757270920026455
DY,52.41411365986089,-2.288340481690799
E,51.558129230012646,-0.0016617053814704614
EC,51.51859533277471,-0.09415220675648116
EH,55.85142348646165,-3.1392296528698678
EN,51.69579026562921,-0.08550607279788569
EX,50.88232122765163,-3.845996210553105
FK,56.2389946185615,-4.187046370580187
FY,53.834177716415844,-3.017074442818848
G,55.993212959905456,-4.438943600899946
GL,51.82001475747739,-2.128136154408886
GU,51.14528457613475,-0.7468865255248761
HA,51.59092848747396,-0.35108864781936966
HD,53.60354140334483,-1.7943655883216965
HG,54.10231598255836,-1.6530739550213558
HP,51.75220789327444,-0.76226382400468
HR,52.08265226765016,-2.784044360829529
HS,57.83783331075904,-6.921637966221661
HU,53.76366828019671,-0.24824095230847998
HX,53.72346974571608,-1.9530358978749365
IG,51.601939503874114,0.07634356036758297
IP,52.26977584758873,1.0443118925172603
IV,57.696058705705724,-4.959767799923038
KA,55.46310818296308,-4.672449889193911
KT,51.33503990637195,-0.3636858408532247
KW,58.639721158383104,-3.412863765588682
KY,56.21655758193474,-3.1402282554391063
L,53.49109768971428,-2.927053459160184
LA,54.22121307259196,-2.8505628984750455
LD,52.15376104868506,-3.3907215385367198
LE,52.6467705201259,-1.0260552855029577
LL,53.04923858576463,-3.9022856530291734
LN,53.279286797463286,-0.24750929340172795
LS,53.86140747929642,-1.4936028164008415
LU,51.897796058911574,-0.5543565880719089
M,53.482343802125065,-2.299411963380763
ME,51.33981331990896,0.6620870949945055
MK,52.076467571389465,-0.6631703348609969
ML,55.628100695210705,-3.7612519596891887
N,51.5989269540176,-0.11912101653750336
NE,55.2073805254754,-1.9901763153529786
NG,53.00761325624489,-0.840948318518244
NN,52.28115782716421,-0.8898929872538455
NP,51.734642704423,-2.9598745957794153
NR,52.67848544946186,1.2602035747904774
NW,51.567481203787935,-0.21730860425091542
OL,53.61779977999303,-2.103147396954772
OX,51.8147119652092,-1.32384179609406
PA,56.127601529112944,-5.606456030972565
PE,52.72080953215917,0.06808255746722278
PH,56.81433247487545,-4.4627839781335945
PL,50.4895355946588,-4.431555117706256
PO,50.77807830110875,-1.0822971860391726
PR,53.770850553763495,-2.771834206358429
RG,51.39707181990792,-1.1386273673016474
RH,51.08863612851715,-0.25801808422661726
RM,51.54704599183476,0.251544953407638
S,53.379655006670234,-1.4523263204615697
SA,51.87006220291268,-4.38661640697816
SE,51.46262052331488,-0.009692669078475697
SG,51.9812555656465,-0.12348479376810073
SK,53.310008801272105,-1.9989730116683662
SL,51.514386898320986,-0.6614489341395814
SM,51.35532118022698,-0.18704598028932645
SN,51.47157956166091,-1.8805070954782006
SO,50.97511729819029,-1.386821068654127
SP,51.09831767673829,-1.830879146262857
SR,54.86289472974388,-1.370148925536591
SS,51.56377670215216,0.715399280830412
ST,52.93533908481913,-2.1026473192999484
SW,51.451033134779955,-0.18414833146795054
SY,52.589720372214906,-3.2874866392841233
TA,51.07851696849963,-3.161740914313362
TD,55.58057857008723,-2.5886797814267877
TF,52.746059968328936,-2.470669915889749
TN,51.07446487601063,0.4954480125896232
TQ,50.44741234207913,-3.7056531884522985
TR,50.17499902462654,-5.321633206512293
TS,54.56342731358111,-1.1858301736699524
TW,51.44340357646674,-0.42594019247952547
UB,51.5396322790157,-0.43585938640045313
W,51.50868285531849,-0.24993646101299832
WA,53.36642693471446,-2.5731354764756773
WC,51.51921189608146,-0.12162843769431399
WD,51.66887880602729,-0.40455505589528656
WF,53.67431113714893,-1.4401892932337526
WN,53.5427516644943,-2.6629283949052183
WR,52.169417592501766,-2.207136162402011
WS,52.69293053984482,-1.9092446482824477
WV,52.553679548299584,-2.315278341412937
YO,54.12788392767354,-0.8086289531465384
ZE,60.36998527619135,-1.238435702436496
